state,region,latitude,longitude,population
Andaman and Nicobar Islands,AN,11.7400867,92.6586401,380581
Andhra Pradesh,AP,15.9129,79.74,84580777
Arunachal Pradesh,AR,28.21,94.72,1383727
Assam,AS,26.244156,92.537842,31205576
Bihar,BR,25.09,85.31,104099452
Chandigarh,CH,30.73,76.78,1055450
Chhattisgarh,CT,21.295132,81.828232,25545198
Dadra and Nagar Haveli,DN,20.18,73.0169,343709
Daman and Diu,DD,20.43,72.84,243247
Delhi,DL,28.7,77.1,16787941
Goa,GA,15.29,74.12,1458545
Gujarat,GJ,22.309425,72.13623,60439692
Haryana,HR,29.065773,76.040497,25351462
Himachal Pradesh,HP,32.084206,77.571167,6864602
Jammu and Kashmir,JK,33.77,76.57,12228613
Jharkhand,JH,23.61,85.27,32988134
Karnataka,KA,15.317277,75.71389,61095297
Kerala,KL,10.850516,76.27108,33406061
Ladakh,LA,34.21,77.615,312689
Lakshadweep,LD,8.295,73.05,64473
Madhya Pradesh,MP,23.473324,77.947998,72626809
Maharashtra,MH,19.66328,75.300293,112374333
Manipur,MN,24.66,93.9,2855794
Meghalaya,ML,25.46,91.36,2966889
Mizoram,MZ,23.16,92.93,1097206
Nagaland,NL,26.15,94.56,1978502
Odisha,OR,20.94092,84.803467,41974218
Puducherry,PY,11.94,79.81,1247953
Punjab,PB,31.14,75.34,27743338
Rajasthan,RJ,27.391277,73.432617,68548437
Sikkim,SK,27.53,88.51,610577
Tamil Nadu,TN,11.127123,78.656891,72147030
Telangana,TG,17.123184,79.208824,31000000
Total,TT,20.59,78.96,1210854977
Tripura,TR,23.745127,91.746826,3673917
Uttar Pradesh,UP,28.207609,79.82666,199812341
Uttarakhand,UT,30.06,79.01,10086292
West Bengal,WB,22.978624,87.747803,91276115
,,,,
